0,6.864603043,-5.789041519
0.099609375,5.853191376,-4.107151031
0.200195313,4.058746338,-2.660146713
0.299804688,1.897853851,-2.576387405
0.399414063,0.086174011,-3.544872284
0.5,-1.302602768,-3.88697052
0.599609375,-1.962776184,-3.329605103
0.700195313,-1.784059525,-3.042675018
0.799804688,-2.270368576,-3.204069138
0.899414063,-4.142108917,-3.049913406
1,-5.447666168,-2.886657715
1.099609375,-4.426452637,-3.571773529
1.200195313,-2.414945602,-4.355321884
1.299804688,-1.221691132,-4.515878677
1.399414063,-0.484294891,-5.218782425
1.5,-0.05701828,-7.372467041
1.599609375,-0.509737015,-10.31316185
1.700195313,-1.567178726,-12.41610527
1.799804688,-2.607349396,-12.12773323
1.899414063,-3.220718384,-10.16819572
2,-3.419435501,-8.551464081
2.099609375,-3.160737991,-7.01884079
2.200195313,-2.168169022,-4.683885574
2.299804688,-0.065355301,-2.604148865
2.399414063,2.438308716,-1.798107147
2.5,2.783424377,-1.735021591
2.599609375,-0.400775909,-1.897842407
2.700195313,-4.290281296,-2.399059296
2.799804688,-5.101074219,-2.748405457
2.899414063,-2.920717239,-2.282447815
3,-0.829933167,-1.699357986
3.099609375,-1.035999298,-2.37228775
3.200195313,-2.538497925,-3.801877975
3.299804688,-2.888433456,-4.310266495
3.399414063,-1.752563477,-3.555618286
3.5,-0.719343185,-2.237556458
3.599609375,-0.746747971,-1.151023865
3.700195313,-1.492609024,-0.90779686
3.799804688,-2.643083572,-1.657144547
3.899414063,-3.929807663,-2.910028458
4,-4.260175705,-3.66129303
4.099609375,-2.978561401,-3.374845505
4.200195313,-0.804840088,-2.399770737
4.299804688,0.852298737,-1.631965637
4.399414063,1.64207077,-1.8456707
4.5,2.125814438,-2.396429062
4.599609375,1.985940933,-2.284091949
4.700195313,0.522222519,-1.880273819
4.799804688,-1.947277069,-2.443996429
4.899414063,-4.736293793,-4.072366714
5,-6.620817184,-5.349546432
5.099609375,-6.140018463,-5.143371582
5.200195313,-3.634162903,-4.265253067
5.299804688,-1.298549652,-4.025104523
5.399414063,-0.640441895,-3.949497223
5.5,-1.069198608,-3.680734634
5.599609375,-1.178794861,-3.444915771
5.700195313,-0.890134811,-2.552394867
5.799804688,-0.59541893,-0.588001251
5.899414063,-0.534809113,1.436870575
6,-0.675941467,2.531959534
6.099609375,-0.311441422,2.798278809
6.200195313,0.340904236,2.587594986
6.299804688,-0.086299896,1.933256149
6.399414063,-1.62273407,0.629854202
6.5,-2.690410614,-0.94500351
6.599609375,-2.443384171,-1.778162003
6.700195313,-1.267631531,-2.200065613
6.799804688,-0.207262039,-3.188013077
6.899414063,0.295946121,-4.154047012
7,0.999635696,-4.370954514
7.099609375,1.888446808,-3.950702667
7.200195313,1.908479691,-3.024591446
7.299804688,1.499576569,-1.486228943
7.399414063,1.787586212,0.051662445
7.5,2.578451157,0.650802612
7.599609375,3.511306763,0.053461075
7.700195313,4.390163422,-1.514148712
7.799804688,4.2917099,-2.74720192
7.899414063,2.703094482,-2.210035324
8,1.445940018,-0.53020668
8.099609375,2.212388992,0.779998779
8.200195313,3.566253662,1.071521759
8.299804688,3.484369278,0.588726044
8.399414063,2.197719574,-0.226234436
8.5,1.375034332,-1.106754303
8.599609375,2.209619522,-1.668428421
8.700195313,4.421537399,-1.623920441
8.799804688,6.433504105,-1.718914032
8.899414063,5.895002365,-2.703649521
9,2.336969376,-3.840353012
9.099609375,-1.245580673,-4.003580093
9.200195313,-2.107969284,-3.221725464
9.299804688,-1.120697021,-2.069452286
9.399414063,-0.471324921,-0.968660355
9.5,-0.221664429,-0.727233887
9.599609375,0.823287964,-1.805656433
9.700195313,2.591356277,-3.200365067
9.799804688,3.589557648,-3.484968185
9.899414063,3.175117493,-1.693666458
10,2.430814743,1.671236038
10.09960938,2.499252319,3.250951767
10.20019531,3.234996796,0.695070267
10.29980469,3.795663834,-3.295967102
10.39941406,3.928459167,-4.972614288
10.5,4.300851822,-4.021959305
10.59960938,5.087814331,-1.879833221
10.70019531,5.678863525,0.490207672
10.79980469,5.944533348,1.883127213
10.89941406,6.025986671,1.250692368
11,5.444099426,-0.499938965
11.09960938,4.385202408,-1.572345734
11.20019531,4.190237045,-1.469884872
11.29980469,4.773710251,-0.451227188
11.39941406,4.510906219,1.023712158
11.5,2.790519714,1.623813629
11.59960938,0.892856598,0.169494629
11.70019531,0.52132225,-2.808485031
11.79980469,2.159427643,-4.848226547
11.89941406,4.368024826,-4.364147186
12,4.88984108,-2.579273224
12.09960938,3.606811523,-0.124998093
12.20019531,2.465114594,2.860532761
12.29980469,1.887550354,4.076929092
12.39941406,1.353879929,3.055355072
12.5,1.434360504,2.379264832
12.59960938,1.504905701,2.551689148
12.70019531,0.180944443,2.278615952
12.79980469,-1.918081284,1.274650574
12.89941406,-3.466485977,-0.292482376
13,-4.244855881,-1.92647934
13.09960938,-4.602441788,-2.42974472
13.20019531,-3.866609573,-1.652833939
13.29980469,-1.328718185,-0.673168182
13.39941406,1.216823578,-0.098075867
13.5,1.746923447,0.58647728
13.59960938,1.097557068,1.299266815
13.70019531,-0.033981323,1.497564316
13.79980469,-2.269357681,1.39018631
13.89941406,-4.333978653,0.900371552
14,-4.738595963,-0.097106934
14.09960938,-4.086574554,-0.973649979
14.20019531,-3.348842621,-0.865633011
