0,-69.76318359,-69.76318359,-69.18334961,-69.51904297,-70.22094727,-69.42749023,-69.79370117,-69.79370117,-70.00732422,-70.25146484,-69.70214844,-70.49560547,-70.15991211,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.713867188,7.32421875,6.713867188,7.32421875,6.713867188
0.1,-69.79370117,-69.79370117,-69.21386719,-69.51904297,-70.22094727,-69.39697266,-69.79370117,-69.82421875,-70.0378418,-70.15991211,-69.70214844,-70.40405273,-70.19042969,6.713867188,6.713867188,6.103515625,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188
0.2,-69.79370117,-69.76318359,-69.15283203,-69.45800781,-70.22094727,-69.39697266,-69.79370117,-69.79370117,-70.0378418,-70.15991211,-69.73266602,-70.43457031,-70.19042969,6.713867188,7.32421875,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188
0.3,-69.76318359,-69.73266602,-69.15283203,-69.48852539,-70.25146484,-69.39697266,-69.76318359,-69.79370117,-70.00732422,-70.12939453,-69.73266602,-70.43457031,-70.19042969,6.103515625,6.713867188,7.32421875,6.713867188,6.713867188,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188
0.4,-69.76318359,-69.76318359,-69.12231445,-69.51904297,-70.28198242,-69.39697266,-69.79370117,-69.76318359,-70.0378418,-70.06835938,-69.73266602,-70.46508789,-70.19042969,7.32421875,6.103515625,6.713867188,7.32421875,6.713867188,6.713867188,6.103515625,7.32421875,6.713867188,6.713867188,7.32421875,6.103515625,6.713867188
0.5,-69.76318359,-69.73266602,-69.12231445,-69.51904297,-70.28198242,-69.45800781,-69.76318359,-69.76318359,-70.0378418,-70.0378418,-69.82421875,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.103515625,6.713867188,7.32421875
0.6,-69.76318359,-69.76318359,-69.09179688,-69.51904297,-70.25146484,-69.42749023,-69.82421875,-69.76318359,-70.00732422,-70.0378418,-69.79370117,-70.40405273,-70.22094727,7.32421875,6.713867188,7.32421875,6.713867188,6.713867188,6.713867188,6.103515625,6.103515625,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188
0.7,-69.76318359,-69.76318359,-69.09179688,-69.51904297,-70.25146484,-69.39697266,-69.82421875,-69.76318359,-69.97680664,-69.97680664,-69.79370117,-70.43457031,-70.22094727,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,7.32421875,6.713867188,6.713867188
0.8,-69.79370117,-69.73266602,-69.0612793,-69.51904297,-70.22094727,-69.42749023,-69.82421875,-69.70214844,-70.00732422,-69.94628906,-69.85473633,-70.40405273,-70.15991211,6.103515625,7.32421875,6.103515625,7.32421875,6.713867188,6.713867188,6.103515625,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.103515625
0.9,-69.79370117,-69.76318359,-69.09179688,-69.51904297,-70.25146484,-69.39697266,-69.76318359,-69.73266602,-70.00732422,-69.91577148,-69.79370117,-70.43457031,-70.19042969,7.32421875,6.103515625,7.32421875,6.713867188,7.32421875,6.713867188,7.32421875,7.32421875,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188
1,-69.76318359,-69.79370117,-69.03076172,-69.54956055,-70.25146484,-69.39697266,-69.76318359,-69.73266602,-69.97680664,-69.97680664,-69.82421875,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.103515625,7.32421875,7.32421875,6.713867188,6.713867188,6.103515625,7.32421875
1.1,-69.79370117,-69.76318359,-69.09179688,-69.54956055,-70.19042969,-69.39697266,-69.79370117,-69.76318359,-70.00732422,-69.91577148,-69.82421875,-70.46508789,-70.22094727,6.713867188,6.103515625,6.713867188,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,7.32421875,6.713867188
1.2,-69.79370117,-69.76318359,-69.0612793,-69.51904297,-70.25146484,-69.39697266,-69.79370117,-69.76318359,-70.0378418,-69.91577148,-69.79370117,-70.43457031,-70.15991211,6.713867188,6.713867188,7.32421875,6.713867188,6.713867188,7.32421875,6.713867188,6.713867188,7.32421875,7.32421875,6.713867188,6.713867188,7.934570313
1.3,-69.76318359,-69.79370117,-69.0612793,-69.54956055,-70.22094727,-69.39697266,-69.79370117,-69.76318359,-70.0378418,-69.91577148,-69.82421875,-70.46508789,-70.22094727,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.103515625,7.934570313,6.713867188,6.103515625
1.4,-69.76318359,-69.79370117,-69.12231445,-69.54956055,-70.22094727,-69.39697266,-69.79370117,-69.76318359,-70.0378418,-69.91577148,-69.82421875,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,7.32421875
1.5,-69.79370117,-69.76318359,-69.09179688,-69.51904297,-70.25146484,-69.39697266,-69.79370117,-69.76318359,-69.97680664,-69.91577148,-69.82421875,-70.46508789,-70.19042969,6.713867188,6.713867188,6.713867188,6.103515625,6.103515625,7.32421875,6.713867188,7.32421875,7.32421875,7.32421875,6.713867188,6.713867188,6.713867188
1.6,-69.79370117,-69.76318359,-69.09179688,-69.54956055,-70.28198242,-69.39697266,-69.79370117,-69.73266602,-70.00732422,-69.88525391,-69.82421875,-70.49560547,-70.22094727,6.103515625,6.713867188,6.713867188,6.713867188,6.103515625,6.103515625,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.713867188,6.103515625
1.7,-69.76318359,-69.76318359,-69.15283203,-69.51904297,-70.25146484,-69.39697266,-69.79370117,-69.76318359,-70.00732422,-69.91577148,-69.82421875,-70.46508789,-70.19042969,7.32421875,7.32421875,6.103515625,6.103515625,6.713867188,6.713867188,7.32421875,7.32421875,6.103515625,6.713867188,6.713867188,6.103515625,7.32421875
1.8,-69.76318359,-69.76318359,-69.12231445,-69.58007813,-70.3125,-69.42749023,-69.76318359,-69.76318359,-70.00732422,-69.85473633,-69.85473633,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.103515625,6.713867188,6.713867188,7.32421875,7.32421875,6.713867188,7.32421875,6.103515625
1.9,-69.79370117,-69.79370117,-69.12231445,-69.54956055,-70.28198242,-69.36645508,-69.73266602,-69.76318359,-69.97680664,-69.88525391,-69.82421875,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.713867188,6.713867188,7.32421875,6.713867188,7.32421875,7.32421875
2,-69.79370117,-69.79370117,-69.12231445,-69.54956055,-70.25146484,-69.36645508,-69.76318359,-69.76318359,-70.00732422,-69.85473633,-69.85473633,-70.46508789,-70.22094727,6.713867188,7.32421875,6.713867188,7.32421875,6.713867188,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188
2.1,-69.79370117,-69.79370117,-69.21386719,-69.54956055,-70.22094727,-69.42749023,-69.76318359,-69.76318359,-69.94628906,-69.88525391,-69.85473633,-70.46508789,-70.25146484,7.32421875,7.32421875,6.713867188,7.32421875,6.713867188,7.32421875,7.32421875,6.713867188,6.713867188,6.103515625,6.103515625,6.713867188,5.493164063
2.2,-69.76318359,-69.76318359,-69.21386719,-69.58007813,-70.25146484,-69.39697266,-69.76318359,-69.73266602,-69.97680664,-69.85473633,-69.88525391,-70.46508789,-70.19042969,6.713867188,6.103515625,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,6.713867188,6.103515625,6.713867188,6.103515625,6.713867188,6.713867188
2.3,-69.82421875,-69.79370117,-69.18334961,-69.54956055,-70.25146484,-69.45800781,-69.76318359,-69.73266602,-69.91577148,-69.85473633,-69.82421875,-70.43457031,-70.19042969,6.103515625,6.103515625,6.713867188,7.32421875,6.713867188,6.103515625,7.32421875,7.32421875,7.32421875,6.713867188,6.713867188,7.32421875,6.713867188
2.4,-69.82421875,-69.79370117,-69.21386719,-69.58007813,-70.28198242,-69.39697266,-69.79370117,-69.73266602,-69.97680664,-69.82421875,-69.85473633,-70.43457031,-70.22094727,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.713867188,6.713867188,6.103515625,6.103515625
2.5,-69.79370117,-69.79370117,-69.18334961,-69.58007813,-70.28198242,-69.42749023,-69.79370117,-69.76318359,-69.94628906,-69.88525391,-69.85473633,-70.43457031,-70.15991211,7.32421875,6.713867188,6.713867188,7.32421875,6.713867188,6.103515625,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.713867188,6.713867188
2.6,-69.76318359,-69.79370117,-69.18334961,-69.58007813,-70.28198242,-69.42749023,-69.76318359,-69.73266602,-69.94628906,-69.79370117,-69.88525391,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.713867188,7.32421875,6.103515625,7.32421875,7.32421875,7.32421875,6.713867188,6.713867188,6.103515625,7.32421875
2.7,-69.76318359,-69.79370117,-69.21386719,-69.6105957,-70.28198242,-69.39697266,-69.76318359,-69.76318359,-70.00732422,-69.85473633,-69.88525391,-70.43457031,-70.19042969,6.713867188,6.713867188,6.713867188,6.103515625,6.713867188,7.32421875,6.103515625,7.32421875,6.713867188,6.713867188,6.103515625,7.32421875,6.713867188
